order_id,delay_days
d5c99387bb0975f7fd307eab0b02bd63,27
ec149fdcafd89d783f2942078e182e1e,27
8800d14eb6eb6031624538ca8750b921,27
3310a2bd8c292776c39ea3fa6cb47447,27
c4c4d6af87a38d11687de496459bb99b,27
87fbaf80a5baf8a4b61821115117f999,27
4c2bda2a65cf17bca1d9c00daa0f8790,27
f8fe2e394d3641489e6a2ca1cc40651e,27
7d86c4aa9e59504b23f16c7ca68954a7,27
ae85b9887d49eb8e4e35cea1435a52d8,27
6325af88a0611fc357055cb87dcec11e,27
6a13517381ec12deba06f6a117428702,27
fb46ec58122be3837cc47f9d175de2bf,27
23f958d8fed53e69461c299f20da7a11,27
8f403b0cd8695918b7937e91e5b39c5e,27
63b6bb683b45ebaf42d0979fae65ad35,27
66cd3a1c2edd13d9da86b50aca9e3d32,27
d916aef37da586876fc49a24ecc609e8,27
95eba7f91699dbaf0acd3ab3f70785c1,27
c7c6ca7db4f3b52d2fd70aeeb13d8e69,27
df125b2cdede89b0ff68ccfb07682470,27
b74e2b985df55c2df5b2be2d9c1f68b4,27
7a53fed7f9006ef9325efa365e6a1992,27
3224f9000ebffb83e1c48590824ba567,27
a50456c8fe575e192697e5f87d77a52a,27
3e9933bf292ae1d5b09f1fed31163522,27
afc652a59f20b96fbf7c8e5bb1a6c1f1,27
23847650c6dde17cb17a2b180af209bd,27
79ec99878595baada166992ed3b31ff9,27
8a88cd510147b16da3ff773025a39430,27
ad4098a257676ea4d394fb3bbbf36ca3,27
4c3cc41d9fad33476cbf842592458f36,27
69a4d311a122356e1eadee79beca43e0,27
36a924d21368a46d4ed120b8adb1dc3d,27
d23957cc89dc81d6073de66716d2cf82,27
c262d9407971d247fc7683fc716ab9ab,27
0f7f3fcd5523d759e8e17084e45439d5,27
40c520349458bcec0ceb7a06f6061a25,27
d4cc34ee536a5c492013d384f6348ec4,26
a20a97869b7ddc65f69cb3373159648b,26
a7d5e53a5efe34103e6b5b67c497c2fa,26
f221e96b7de74d489ab306e560fb83a1,26
b121103b92afc327fb33d0e75b368a72,26
bde06a769a934fd5e54ef3a8019a4e72,26
6a43d3b2cbb42f4e417faa5566a65469,26
0f7a031ff7235289c8ce7270cac7c4ec,26
21adb757aaef1f7f6240352b33d30e5a,26
190557ff9eb3797082b5279359cf7bef,26
f12388e0e8c7694fc38c8de19261054c,26
4b6aa78846ad555241cc92ee58c815c6,26
f0b3b8301161711933b5fa04d6191a0e,26
0e80c0d12085997d97ada58dda2ed84b,26
923dbd74822b55ab663759d1bb50823f,26
07f6c3baf9ac86865b60f640c4f923c6,26
768e55f3434ea3cf830ceceaf074257c,26
cbcffd62e7d1e6d26d3a6657731cb96a,26
c206348085f589eaf3bcd60a005bb15c,26
67b5c82e01dc9ea4d82fbd3d51e41bae,26
2fcd7fa5d8729fd6dddd51369b36edcd,26
5dd868edea4ee3363563534cd18187f1,26
958261a4492225848848d654759efa34,26
acbaf2e843c77c9749c79030163c8b81,26
7f81a8a172eddc4f7afaf02eb94ab824,26
35546dd6349a2065ed8ac6ffbd2b7aba,26
0db053a048333680c09114ac4f231a79,26
009742b43f4530bc3db7f62332c50f4b,26
d4148052141383039b68bbb6bd525f3b,26
20ea67720234d8e46c6dc89f8b1dc16a,26
70e1e65e23050b71f1357ebf72506b73,26
0f57c7a28afbca568ab72eb6be1dfb81,26
4a4ded48a84c0cee9a190dd22ce96866,26
5c092582307d1169e1a475648c90003f,25
f162b72aa92d8ecf9cdb69e84fb2277c,25
055e121a8cefa5494be46fea4bd4f3ab,25
6e6bacc052a79d14a6e7d015188bef50,25
84cd555d3d1f2b32fb392b1dff57a851,25
52c13ebf98c19fe6dc69e69ac09663a1,25
278340587458d6ef7070f79b08bca8b8,25
2a4b7ff75e8b04e29d4111f8dac8abcd,25
abed4a9942ddbdf89cb7813557d89c62,25
7ac8109e735f29d8982f4503586fe59f,25
1b972feb2ea1e13fc92a33e665b399c8,25
f54a5247270f147891511428c087773e,25
4c1820d7f03f21dc27c9fc40eba8e860,25
604e352bcd3bb9d8932aebf18bc2891d,25
58cd1eb79e3ed5abe07691143092d982,25
7f96bf9d2b7643f96bcb99c0a616a5ba,25
2e4ac9141035afac9390d77c93177a95,25
ddb831adbe504c02601f03328420af4d,25
db594d5ffa3060a8a682a7057a904f29,25
1c308eca3f339414a92e518e2a2e5ee9,25
3195c228f36c525c75f392549eff247f,25
cb7def57f4ae68a387231ee8e446bd50,25
20ece825fd1a3714c240d58a96df35ea,25
7892a566b076a8f7248d0c39b1a62768,25
8f4235528e51aeb039cdf73bc049c7e1,25
5732c4d32ae81ea346107cb61aa2061b,25
f16010e0add047ba483e2b3eefa7c60e,25
5fd0b812a7ad786c02970c4223ef1dff,25
392ddca7a63143f9ec76350a09e0e138,25
f9ada76953fa490d8a254d2e28f353ac,25
1d496c62bf852e069018c2b038064949,25
ac9c24587cf6cf6fc0276576b9e95cc6,25
972d6687f988a5383e3593ec28911400,25
b4d859fb4b08bfe5535ae5c37e658715,25
67228d3b35b57e5bf9c1437f95652f2c,25
5645645107dea4fb252b5fb68ed75db9,25
82c5ef9af05ba4775bcabac8b9520c3e,25
b747117c2b61e77e4ca28fc2ab62860b,25
6936f7b18afc012d79d4f8ad93db7903,25
fa86f95c2bce5958b1d9236da9f96926,24
35c3b3b2f196293240304eb8601b3d8c,24
6be743a80035d24c59907106942ee7f5,24
7c59d327d267a2ce386f84038c0035c5,24
64397bf4c493c0fa84f413977e87da93,24
fa584838f0f64e25b892b5e883b2c606,24
